N,Должность,Язык.программирования,Общий.опыт.работы,Опыт.работы.на.текущем.месте,Зарплата.в.месяц,Изменение.зарплаты.за.12.месяцев,Город,Размер.компании,Тип.компании,Пол,Возраст,Образование,Еще.студент,Уровень.английского,Дата.заполнения,User.Agent,exp,current_job_exp,salary,avg
25,Senior Software Engineer,Swift,6,1,2800,0,Киев,свыше 1000 человек,Аутсорсинговая,мужской,31,Высшее,False,выше среднего,12/06/2017 13:07:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13) AppleWebKit/604.1.21 (KHTML, like Gecko) Version/11.0 Safari/604.1.21",6.0,1.0,2800,
26,Senior Software Engineer,JavaScript,6,1,3000,0,Киев,до 10 человек,Продуктовая,мужской,26,Незаконченное высшее,False,продвинутый,12/06/2017 13:07:53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",6.0,1.0,3000,
27,Senior Software Engineer,Ruby/Rails,10 и более лет,8,4500,0,Киев,до 50 человек,Аутсорсинговая,мужской,29,Высшее,False,продвинутый,12/06/2017 13:07:55,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,8.0,4500,
35,Senior Software Engineer,C#/.NET,6,4,3620,300,Харьков,свыше 1000 человек,Аутстаффинговая,мужской,25,Высшее,False,выше среднего,12/06/2017 13:08:30,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,4.0,3620,
36,Junior Software Engineer,Java,1,1,350,350,Ужгород,до 50 человек,Аутсорсинговая,мужской,26,Высшее,False,выше среднего,12/06/2017 13:08:32,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1.0,1.0,350,
38,Software Engineer,C#/.NET,4,меньше 3 месяцев,2300,400,Харьков,до 200 человек,Аутстаффинговая,мужской,26,Высшее,False,средний,12/06/2017 13:08:36,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,0.0,2300,
41,Junior Software Engineer,Swift,3,1.5,450,150,Другой,до 10 человек,Продуктовая,мужской,27,Высшее,False,ниже среднего,12/06/2017 13:09:06,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,1.5,450,
42,Senior Software Engineer,Java,5,5,2500,500,Киев,свыше 1000 человек,Аутсорсинговая,мужской,26,Два высших,False,средний,12/06/2017 13:09:21,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,5.0,2500,
43,Senior Software Engineer,Swift,5,1,3230,380,Киев,до 50 человек,Продуктовая,мужской,25,Высшее,False,выше среднего,12/06/2017 13:09:21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,1.0,3230,
44,Software Engineer,PHP,2,меньше 3 месяцев,1200,500,Киев,до 10 человек,Аутсорсинговая,мужской,23,Высшее,False,выше среднего,12/06/2017 13:09:26,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.0,1200,
45,Technical Lead,Perl,6,4,3400,250,Киев,свыше 1000 человек,Аутстаффинговая,мужской,36,Незаконченное высшее,False,выше среднего,12/06/2017 13:09:29,"Mozilla/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPad5,1;FBMD/iPad;FBSN/iOS;FBSV/10.3.2;FBSS/2;FBCR/;FBID/tablet;FBLC/en_US;FBOP/5;FBRV/0]",6.0,4.0,3400,
47,Senior Software Engineer,PHP,5,1,3500,2000,Киев,до 10 человек,Продуктовая,мужской,21,Незаконченное высшее,False,выше среднего,12/06/2017 13:09:30,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,1.0,3500,
48,Junior Software Engineer,Ruby/Rails,0.5,0.5,350,150,Львов,до 50 человек,Аутсорсинговая,мужской,26,Высшее,False,средний,12/06/2017 13:09:34,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,350,
53,Technical Lead,C++,10 и более лет,4,4500,0,Киев,свыше 1000 человек,Аутсорсинговая,мужской,35,Высшее,False,продвинутый,12/06/2017 13:09:57,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",10.0,4.0,4500,
54,Software Engineer,C#/.NET,5,2,450,150,Другой,до 200 человек,Аутсорсинговая,мужской,27,Высшее,False,ниже среднего,12/06/2017 13:09:59,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,2.0,450,
55,Technical Lead,PHP,6,3,3000,500,Киев,до 10 человек,Аутстаффинговая,мужской,24,Высшее,False,выше среднего,12/06/2017 13:10:01,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,3.0,3000,
56,Software Engineer,C#/.NET,6,6,2550,150,Киев,до 1000 человек,Продуктовая,мужской,35,Высшее,False,выше среднего,12/06/2017 13:10:04,"Mozilla/5.0 (Linux; Android 5.1.1; Nexus 4 Build/LMY48T; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36",6.0,6.0,2550,
57,Software Engineer,C#/.NET,6,4,1000,200,Житомир,до 10 человек,Продуктовая,мужской,29,Высшее,False,средний,12/06/2017 13:10:07,"Mozilla/5.0 (Windows Phone 10.0; Android 6.0.1; Microsoft; Lumia 640 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Mobile Safari/537.36 Edge/15.15063",6.0,4.0,1000,
58,Software Engineer,PHP,3,1.5,1800,500,Киев,до 200 человек,Продуктовая,мужской,25,Высшее,False,средний,12/06/2017 13:10:14,"Mozilla/5.0 (X11; Fedora; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",3.0,1.5,1800,
59,Software Engineer,Ruby/Rails,2,1.5,2850,850,Киев,до 200 человек,Аутсорсинговая,мужской,23,Высшее,True,средний,12/06/2017 13:10:17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,1.5,2850,
60,Software Engineer,JavaScript,3,3,1100,200,Запорожье,до 50 человек,Аутсорсинговая,мужской,23,Высшее,False,ниже среднего,12/06/2017 13:10:21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,3.0,1100,
61,Junior Software Engineer,JavaScript,1,10 и более лет,700,0,Харьков,до 1000 человек,Аутсорсинговая,мужской,40,Высшее,False,средний,12/06/2017 13:10:29,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,10.0,700,
63,Senior Software Engineer,Scala,4,меньше 3 месяцев,3400,1600,Киев,до 200 человек,Аутстаффинговая,мужской,26,Высшее,False,выше среднего,12/06/2017 13:10:42,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,0.0,3400,
64,Senior Software Engineer,Java,7,4,4000,500,Харьков,до 200 человек,Аутсорсинговая,мужской,34,Высшее,False,продвинутый,12/06/2017 13:10:45,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",7.0,4.0,4000,
66,Senior Software Engineer,Java,5,4,2390,1000,Львов,свыше 1000 человек,Аутсорсинговая,мужской,29,Незаконченное высшее,False,средний,12/06/2017 13:11:08,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,5.0,4.0,2390,
67,Software Engineer,PHP,3,3,700,200,Винница,до 10 человек,Аутсорсинговая,мужской,22,Высшее,True,ниже среднего,12/06/2017 13:11:10,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone9,3;FBMD/iPhone;FBSN/iOS;FBSV/10.3.2;FBSS/2;FBCR/Carrier;FBID/phone;FBLC/ru_RU;FBOP/5;FBRV/0]",3.0,3.0,700,
69,Software Engineer,Python,1.5,0.5,900,900,Киев,до 10 человек,Стартап,мужской,21,Незаконченное высшее,True,выше среднего,12/06/2017 13:11:17,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.5,0.5,900,
70,Software Engineer,C#/.NET,3,3,1875,400,Львов,до 200 человек,Аутсорсинговая,мужской,25,Высшее,False,выше среднего,12/06/2017 13:11:26,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",3.0,3.0,1875,
72,Senior Software Engineer,JavaScript,3,2,2300,500,Киев,до 50 человек,Продуктовая,мужской,27,Высшее,False,средний,12/06/2017 13:11:28,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",3.0,2.0,2300,
74,Software Engineer,C++,2,0.5,1700,950,Киев,свыше 1000 человек,Аутсорсинговая,мужской,25,Высшее,False,средний,12/06/2017 13:11:36,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",2.0,0.5,1700,
75,Junior Software Engineer,PHP,0.25,меньше 3 месяцев,230,58,Полтава,до 10 человек,Продуктовая,мужской,27,Техникум / Колледж,False,ниже среднего,12/06/2017 13:11:42,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi Note 3 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",0.25,0.0,230,
76,Senior Software Engineer,Swift,6,0.25,4000,0,Львов,до 10 человек,Продуктовая,мужской,25,Высшее,False,выше среднего,12/06/2017 13:11:44,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",6.0,0.25,4000,
77,Senior Software Engineer,JavaScript,5,3,4400,800,Киев,до 10 человек,Аутстаффинговая,мужской,26,Высшее,False,выше среднего,12/06/2017 13:11:51,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",5.0,3.0,4400,
79,Software Engineer,JavaScript,2,1.5,500,100,Киев,до 10 человек,Стартап,мужской,25,Высшее,False,средний,12/06/2017 13:11:55,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",2.0,1.5,500,
80,Senior Software Engineer,JavaScript,6,1,3800,300,Удаленно,до 10 человек,Стартап,мужской,25,Незаконченное высшее,False,выше среднего,12/06/2017 13:12:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,1.0,3800,
83,Junior Software Engineer,JavaScript,0.5,0.5,300,100,Львов,до 10 человек,Аутсорсинговая,мужской,17,Среднее,False,средний,12/06/2017 13:12:05,"Mozilla/5.0 (Linux; Android 7.0; SM-G925F Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36",0.5,0.5,300,
84,Senior Software Engineer,Java,8,1,3000,500,Одесса,до 10 человек,Продуктовая,мужской,30,Высшее,False,средний,12/06/2017 13:12:06,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",8.0,1.0,3000,
85,Junior Software Engineer,C,2,1,400,0,Харьков,до 10 человек,Аутсорсинговая,мужской,26,Высшее,False,средний,12/06/2017 13:12:16,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,1.0,400,
86,Senior Software Engineer,JavaScript,6,0.5,4500,1200,Киев,до 50 человек,Продуктовая,мужской,27,Высшее,False,выше среднего,12/06/2017 13:12:20,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/95.0.0.54.70;FBBV/59901094;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.3.2;FBSS/2;FBCR/Carrier;FBID/phone;FBLC/ru_RU;FBOP/5;FBRV/0]",6.0,0.5,4500,
88,Junior Software Engineer,Python,0.5,0.5,600,0,Киев,до 10 человек,Аутсорсинговая,мужской,19,Незаконченное высшее,True,выше среднего,12/06/2017 13:12:25,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",0.5,0.5,600,
89,Software Engineer,Swift,2,1,1600,200,Львов,до 200 человек,Аутсорсинговая,мужской,22,Высшее,True,средний,12/06/2017 13:12:26,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,1.0,1600,
91,Senior Software Engineer,Ruby/Rails,4,4,2800,400,Днепр,до 50 человек,Аутсорсинговая,мужской,35,Высшее,False,средний,12/06/2017 13:12:35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,4.0,2800,
92,Junior Software Engineer,C#/.NET,1,1,1000,400,Киев,свыше 1000 человек,Аутсорсинговая,мужской,33,Высшее,False,продвинутый,12/06/2017 13:12:37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,1000,
93,Software Engineer,PHP,3,2,1500,600,Днепр,до 200 человек,Аутсорсинговая,женский,29,Высшее,False,выше среднего,12/06/2017 13:12:40,"Mozilla/5.0 (Linux; Android 7.0; Nexus 6 Build/NBD92G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.132 Mobile Safari/537.36",3.0,2.0,1500,
94,Senior Software Engineer,Ruby/Rails,10 и более лет,0.5,4200,1800,Киев,до 1000 человек,Аутстаффинговая,мужской,32,Высшее,False,средний,12/06/2017 13:12:41,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,0.5,4200,
95,Software Engineer,JavaScript,4,0.5,1700,300,Харьков,до 1000 человек,Аутсорсинговая,мужской,27,Техникум / Колледж,False,средний,12/06/2017 13:12:42,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",4.0,0.5,1700,
96,Junior Software Engineer,JavaScript,0.5,0.5,640,0,Киев,до 50 человек,Аутсорсинговая,мужской,29,Высшее,False,выше среднего,12/06/2017 13:12:53,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",0.5,0.5,640,
98,Software Engineer,Java,2,1,1200,400,Киев,до 1000 человек,Аутсорсинговая,мужской,21,Высшее,True,средний,12/06/2017 13:12:55,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",2.0,1.0,1200,
99,Software Engineer,JavaScript,4,0.5,2600,1800,Киев,свыше 1000 человек,Аутстаффинговая,мужской,25,Высшее,False,средний,12/06/2017 13:12:55,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3125.0 Safari/537.36",4.0,0.5,2600,
101,Junior Software Engineer,C#/.NET,1.5,1,1000,400,Харьков,до 200 человек,Аутсорсинговая,женский,21,Незаконченное высшее,True,выше среднего,12/06/2017 13:13:19,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.0,1000,
102,Software Engineer,Java,2,2,1650,450,Киев,до 50 человек,Аутсорсинговая,мужской,27,Высшее,False,выше среднего,12/06/2017 13:13:24,"Mozilla/5.0 (Linux; Android 7.1.1; Nexus 6 Build/NOF26W) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",2.0,2.0,1650,
108,Senior Software Engineer,Objective-C,9,меньше 3 месяцев,3700,200,Харьков,до 200 человек,Аутстаффинговая,мужской,32,Высшее,False,выше среднего,12/06/2017 13:13:53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",9.0,0.0,3700,
111,Software Engineer,Java,2,2,1150,400,Харьков,свыше 1000 человек,Аутсорсинговая,мужской,29,Высшее,False,продвинутый,12/06/2017 13:14:30,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",2.0,2.0,1150,
112,Technical Lead,C,10 и более лет,10 и более лет,4150,150,Днепр,до 200 человек,Аутстаффинговая,мужской,33,Высшее,False,выше среднего,12/06/2017 13:14:33,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",10.0,10.0,4150,
114,Senior Software Engineer,JavaScript,5,меньше 3 месяцев,3500,500,Львов,до 10 человек,Аутсорсинговая,мужской,28,Высшее,False,выше среднего,12/06/2017 13:14:47,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Mobile/14F89 Twitter for iPhone",5.0,0.0,3500,
115,Junior Software Engineer,Python,1.5,0.5,685,250,Киев,до 1000 человек,Аутсорсинговая,мужской,21,Незаконченное высшее,False,средний,12/06/2017 13:14:52,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1.5,0.5,685,
117,Senior Software Engineer,Java,5,0.25,3200,200,Харьков,до 50 человек,Аутсорсинговая,мужской,25,Незаконченное высшее,False,выше среднего,12/06/2017 13:15:04,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,0.25,3200,
119,Software Engineer,Java,3,0.5,2250,0,Одесса,до 1000 человек,Продуктовая,мужской,29,Высшее,False,выше среднего,12/06/2017 13:15:25,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,0.5,2250,
121,Junior Software Engineer,Java,0.25,меньше 3 месяцев,500,0,Винница,до 50 человек,Аутсорсинговая,мужской,22,Незаконченное высшее,False,продвинутый,12/06/2017 13:15:42,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.25,0.0,500,
124,Software Engineer,JavaScript,3,1.5,2350,550,Киев,свыше 1000 человек,Аутсорсинговая,мужской,25,Высшее,False,выше среднего,12/06/2017 13:16:13,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,1.5,2350,
128,Software Engineer,PHP,4,3,1000,150,Харьков,до 50 человек,Аутсорсинговая,мужской,30,Высшее,False,средний,12/06/2017 13:16:57,Mozilla/5.0 (X11; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0,4.0,3.0,1000,
129,Software Engineer,Java,4,2,2000,600,Ужгород,до 50 человек,Продуктовая,мужской,24,Высшее,False,средний,12/06/2017 13:16:57,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,2.0,2000,
132,Senior Software Engineer,Java,3,3,2000,1000,Харьков,до 50 человек,Аутсорсинговая,мужской,26,Высшее,False,средний,12/06/2017 13:17:18,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",3.0,3.0,2000,
134,Junior Software Engineer,C++,0.5,0.5,750,0,Киев,до 200 человек,Другая,мужской,29,Высшее,False,продвинутый,12/06/2017 13:17:40,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,750,
136,Senior Software Engineer,Java,10 и более лет,8,3400,0,Харьков,до 50 человек,Аутстаффинговая,мужской,34,Кандидат,False,выше среднего,12/06/2017 13:17:44,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,10.0,8.0,3400,
